number,value,datetime_start,datetime_complete,duration,params_alpha_feature_fraction,params_alpha_learning_rate,params_alpha_min_child_samples,params_alpha_num_leaves,params_alpha_subsample,params_cusum_sigma_mult,params_fracdiff_d,params_meta_bet_sizing_power,params_meta_feature_fraction,params_meta_learning_rate,params_meta_min_child_samples,params_meta_num_leaves,params_meta_prob_win_threshold,params_meta_probability_floor,params_pt_mult,params_sl_mult,params_vertical_barrier_days,params_volume_threshold_multiplier,params_weight_eps,user_attrs_validation,state
0,-5.39463006536877,2026-04-10 10:36:57.228454,2026-04-10 10:37:37.763128,0 days 00:00:40.534674,0.7832290311184182,0.015930522616241012,6,133,0.9849549260809971,1.530989398169959,0.4,0.9345450466589599,0.5727299868828403,0.0026587543983272706,34,129,0.25916701118526947,0.10087248041938861,2.197316968394073,1.312037280884873,5.0,20.919616423534187,7.969454818643937e-05,"{'validation_sharpes': [-4.511199181625083, -7.309700707996931, -3.872769897175748], 'validation_mdds': [-0.10370263053554563, -0.08816268019862772, -0.0970921193495452], 'validation_turnovers': [0.10271547963380037, 0.1648098973378238, 0.0970238286237032], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -4.511199181625083}",COMPLETE
1,,2026-04-10 10:37:37.763442,2026-04-10 10:37:37.836637,0 days 00:00:00.073195,0.736965827544817,0.01067748270948136,7,46,0.8037724259507192,0.4941142561410732,0.30000000000000004,2.068894033262038,0.8795542149013333,0.0013492834268013251,22,42,0.058603268403830316,0.5310976181910076,1.5842892970704363,1.7327236865873834,50.0,41.92489889519251,1.6738085788752145e-05,,PRUNED
2,-5.109738812478221,2026-04-10 10:37:37.836933,2026-04-10 10:38:11.857251,0 days 00:00:34.020318,0.7080272084711243,0.004201672054372531,35,106,0.5924272277627636,0.46356691097836294,0.65,1.5952749523249417,0.8757995766256756,0.035503048581283086,56,147,0.0530955012311517,0.4921550427352069,1.9903538202225404,1.0687770422304368,20.0,73.65242814551475,7.5911048052827045e-06,"{'validation_sharpes': [-2.622990109731108, -4.516801647642937, -4.391056150973858], 'validation_mdds': [-0.006005035559873195, -0.01331060015596297, -0.026016627125916902], 'validation_turnovers': [0.010097511547434504, 0.025231332674298557, 0.029644248875124377], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -4.391056150973858}",COMPLETE
3,,2026-04-10 10:38:11.857706,2026-04-10 10:38:11.940933,0 days 00:00:00.083227,0.5563696899899051,0.012172847081122434,49,56,0.5372753218398854,0.8193280788357126,0.25,2.084788214023377,0.5794862726136689,0.03503398491158688,44,149,0.43740430082459236,0.00303716441798132,1.777354579378964,1.5426980635477918,25.0,68.01162564063506,1.2315571723666031e-06,,PRUNED
4,-4.130475709997734,2026-04-10 10:38:11.941201,2026-04-10 10:38:21.579954,0 days 00:00:09.638753,0.6300733288106988,0.004187594718900628,45,28,0.8187787356776066,0.877315024952477,0.75,1.9617663593880192,0.5478376983753207,0.008798929749689027,36,136,0.4625803079727366,0.39228463297264726,1.2317381190502594,2.7262068517511873,20.0,53.63086887792905,1.4063366777718187e-06,"{'validation_sharpes': [-3.8719473305706256, -2.3598679164446463, -3.4659537212162985], 'validation_mdds': [-0.00312002923947019, -0.021581434493988194, -0.033685728195428144], 'validation_turnovers': [0.012302303453131906, 0.04777384173854884, 0.06176594332844119], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -3.4659537212162985}",COMPLETE
5,-6.362476823545374,2026-04-10 10:38:21.580360,2026-04-10 10:38:34.596075,0 days 00:00:13.015715,0.8630265895704372,0.010402587615883844,18,61,0.7051914615178149,0.9981967821274619,0.5,0.6127478963215099,0.5307919639315172,0.0028681134821030075,57,118,0.48487222773865013,0.15936329910257244,1.0508382534881904,1.215782853986609,40.0,12.200042998071398,1.110364731305462e-05,"{'validation_sharpes': [-8.946370593935052, -5.247935655725015, -3.0967356193476827], 'validation_mdds': [-0.047072401326964886, -0.03517401071602122, -0.05779525213332848], 'validation_turnovers': [0.12946573967434163, 0.10594012728919851, 0.09199538396210895], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -5.247935655725015}",COMPLETE
