number,value,datetime_start,datetime_complete,duration,params_alpha_feature_fraction,params_alpha_learning_rate,params_alpha_min_child_samples,params_alpha_num_leaves,params_alpha_subsample,params_cusum_sigma_mult,params_fracdiff_d,params_meta_bet_sizing_power,params_meta_feature_fraction,params_meta_learning_rate,params_meta_min_child_samples,params_meta_num_leaves,params_meta_prob_win_threshold,params_meta_probability_floor,params_pt_mult,params_sl_mult,params_volume_threshold_multiplier,params_weight_eps,user_attrs_validation,state
0,-6.718025759417748,2026-04-10 09:34:01.056483,2026-04-10 09:34:39.988856,0 days 00:00:38.932373,0.7404460046972835,0.05399484409787434,44,27,0.5102922471479012,1.530989398169959,0.4,0.662660147170226,0.5849356442713105,0.04622589001020832,22,147,0.3148538589793427,0.10000373196390534,2.197316968394073,1.312037280884873,20.919616423534187,7.969454818643937e-05,"{'validation_sharpes': [-2.91955522201364, -9.633863675420205, -5.514275873295226], 'validation_mdds': [-0.10045700207636832, -0.11643826610156816, -0.12076435970982302], 'validation_turnovers': [0.09820864722992852, 0.17781731933708728, 0.12607931912905687], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -5.514275873295226}",COMPLETE
1,,2026-04-10 09:34:39.989164,2026-04-10 09:34:40.115355,0 days 00:00:00.126191,0.5798695128633439,0.037183641805732096,33,79,0.7962072844310213,1.320742565764164,0.45000000000000007,2.3849924588199998,0.5682096494749166,0.016409286730647923,59,26,0.48503840886987665,0.03577837614190374,1.2789877213040837,1.5842892970704363,35.645329030558415,3.823475224675187e-06,,PRUNED
2,,2026-04-10 09:34:40.115636,2026-04-10 09:34:40.240841,0 days 00:00:00.125205,0.6035119926400068,0.06586289317583113,42,24,0.6558555380447055,1.4474077963962746,0.35,1.9940488525625077,0.5739417822102109,0.0123999678368461,57,88,0.5368964102565893,0.5332715452705072,1.8803049874792026,1.2440764696895577,44.66238370778891,1.5679933916723006e-06,,PRUNED
3,-8.797839643047437,2026-04-10 09:34:40.241109,2026-04-10 09:36:55.378290,0 days 00:02:15.137181,0.8314950036607718,0.003488976654890368,24,70,0.6404672548436904,0.4048618785908591,0.6,2.4704956073511637,0.8208787923016159,0.00191358804876923,48,91,0.11922940892050343,0.04100285402387396,1.3919657248382904,1.0904545778210761,32.7731231534285,6.97828126512603e-05,"{'validation_sharpes': [-8.052922770845273, -6.65017427486406, -8.952828546420532], 'validation_mdds': [-0.08593749748953683, -0.07231486233109352, -0.10444713243827008], 'validation_turnovers': [0.08042690259739853, 0.07730699175471827, 0.0851751703041797], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -8.052922770845273}",COMPLETE
4,,2026-04-10 09:36:55.378661,2026-04-10 09:36:55.962086,0 days 00:00:00.583425,0.8452413703502375,0.0017050539260269294,39,66,0.6654490124263246,1.48700035173333,0.1,1.6845043105492294,0.6300733288106988,0.004187594718900628,54,28,0.28332895509716954,0.4012833980859353,2.4580143360819746,2.5425406933718913,15.183125621386324,4.274869455295217e-05,,PRUNED
5,,2026-04-10 09:36:55.962383,2026-04-10 09:36:56.130078,0 days 00:00:00.167695,0.510167650697638,0.007162786999897343,11,88,0.5157145928433671,1.5813738350795705,0.2,0.8109075155849687,0.7034282764658811,0.00425316236379087,27,103,0.4533306831258292,0.4991615606593512,2.1225543951389927,2.541934359909122,44.56569174550735,2.66986667427446e-05,,PRUNED
6,,2026-04-10 09:36:56.130357,2026-04-10 09:36:56.271170,0 days 00:00:00.140813,0.8214688307596458,0.05532496914298508,15,102,0.9462794992449889,0.757065042599094,0.25,0.4976168301872727,0.8584365199693973,0.04119839624605188,17,90,0.2562646731757538,0.17490191123452514,1.3224425745080088,2.859395304685146,66.56842656950919,1.4254757044027448e-06,,PRUNED
7,-3.553976054812269,2026-04-10 09:36:56.271439,2026-04-10 09:39:34.207566,0 days 00:02:37.936127,0.8771638815650077,0.0047340227734041914,23,35,0.7593953108716831,0.2621662284295837,0.75,0.8165101656070693,0.8887128330883842,0.0053365330663796085,32,112,0.1805269858900618,0.5293460122181612,2.0214946051551315,1.834822006297558,25.54754673295112,5.265761277157425e-05,"{'validation_sharpes': [-3.4009365405150094, -2.1775281021514337, -2.924359004836694], 'validation_mdds': [-0.04105086930050461, -0.02695066435914306, -0.05153007672746923], 'validation_turnovers': [0.03583389712417207, 0.039527700146427126, 0.03742036134185042], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -2.924359004836694}",COMPLETE
