number,value,datetime_start,datetime_complete,duration,params_alpha_feature_fraction,params_alpha_learning_rate,params_alpha_min_child_samples,params_alpha_num_leaves,params_alpha_subsample,params_cusum_sigma_mult,params_fracdiff_d,params_meta_bet_sizing_power,params_meta_feature_fraction,params_meta_learning_rate,params_meta_min_child_samples,params_meta_num_leaves,params_meta_prob_win_threshold,params_meta_probability_floor,params_pt_mult,params_sl_mult,params_vertical_barrier_days,params_volume_threshold_multiplier,params_weight_eps,user_attrs_validation,state
0,-8.158556331970281,2026-04-10 09:42:43.760594,2026-04-10 09:44:18.861752,0 days 00:01:35.101158,0.7832290311184182,0.015930522616241012,6,133,0.9849549260809971,1.530989398169959,0.4,0.9345450466589599,0.5727299868828403,0.0026587543983272706,34,129,0.25916701118526947,0.10087248041938861,2.197316968394073,1.312037280884873,5.0,20.919616423534187,7.969454818643937e-05,"{'validation_sharpes': [-4.273905731761561, -9.7996872605222, -7.082294167914522], 'validation_mdds': [-0.08704005008638593, -0.1087262467373451, -0.12690351867441307], 'validation_turnovers': [0.08549737374198026, 0.15065230577756472, 0.12263959692102362], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -7.082294167914522}",COMPLETE
1,,2026-04-10 09:44:18.862207,2026-04-10 09:44:18.990531,0 days 00:00:00.128324,0.736965827544817,0.01067748270948136,7,46,0.8037724259507192,0.4941142561410732,0.30000000000000004,2.068894033262038,0.8795542149013333,0.0013492834268013251,22,42,0.058603268403830316,0.5310976181910076,1.5842892970704363,1.7327236865873834,50.0,41.92489889519251,1.6738085788752145e-05,,PRUNED
2,-6.276577570439401,2026-04-10 09:44:18.990812,2026-04-10 09:45:34.975773,0 days 00:01:15.984961,0.7080272084711243,0.004201672054372531,35,106,0.5924272277627636,0.46356691097836294,0.65,1.5952749523249417,0.8757995766256756,0.035503048581283086,56,147,0.0530955012311517,0.4921550427352069,1.9903538202225404,1.0687770422304368,20.0,73.65242814551475,7.5911048052827045e-06,"{'validation_sharpes': [-5.625291139185672, -6.627115835522331, -5.22261760427165], 'validation_mdds': [-0.058236833154426515, -0.02108917148773437, -0.03795141260310775], 'validation_turnovers': [0.053362098448684496, 0.028995497814883975, 0.03656686539863422], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -5.625291139185672}",COMPLETE
3,,2026-04-10 09:45:34.976433,2026-04-10 09:45:35.108798,0 days 00:00:00.132365,0.5563696899899051,0.012172847081122434,49,56,0.5372753218398854,0.8193280788357126,0.25,2.084788214023377,0.5794862726136689,0.03503398491158688,44,149,0.43740430082459236,0.00303716441798132,1.777354579378964,1.5426980635477918,25.0,68.01162564063506,1.2315571723666031e-06,,PRUNED
4,-3.071882941052573,2026-04-10 09:45:35.108976,2026-04-10 09:45:56.998668,0 days 00:00:21.889692,0.6300733288106988,0.004187594718900628,45,28,0.8187787356776066,0.877315024952477,0.75,1.9617663593880192,0.5478376983753207,0.008798929749689027,36,136,0.4625803079727366,0.39228463297264726,1.2317381190502594,2.7262068517511873,20.0,53.63086887792905,1.4063366777718187e-06,"{'validation_sharpes': [-2.4402568146209327, -2.8405062209385123, -1.6155936982783132], 'validation_mdds': [-0.006164383575485544, -0.024984667645639558, -0.019571096778433494], 'validation_turnovers': [0.022248474725696923, 0.05775825289340435, 0.04132130633927888], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -2.4402568146209327}",COMPLETE
5,-5.9280468453266035,2026-04-10 09:45:56.999018,2026-04-10 09:46:33.382063,0 days 00:00:36.383045,0.8630265895704372,0.010402587615883844,18,61,0.7051914615178149,0.9981967821274619,0.5,0.6127478963215099,0.5307919639315172,0.0028681134821030075,57,118,0.48487222773865013,0.15936329910257244,1.0508382534881904,1.215782853986609,40.0,12.200042998071398,1.110364731305462e-05,"{'validation_sharpes': [-8.79379647042073, -4.417364614134628, -4.9275332676588715], 'validation_mdds': [-0.05038570235852602, -0.04740859954610954, -0.0621155239051443], 'validation_turnovers': [0.1304905600353741, 0.10164194131115871, 0.12025128179693234], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -4.9275332676588715}",COMPLETE
6,-5.179127219533458,2026-04-10 09:46:33.382438,2026-04-10 09:47:33.491565,0 days 00:01:00.109127,0.5440207698110707,0.004325207525386529,17,137,0.7135538943131281,1.6564261345734503,0.6,1.1891747570847526,0.5027808522124763,0.05265761277157429,17,127,0.07191922040020968,0.2809110164176612,1.3731401177720717,2.7851179969799555,50.0,47.75395693409555,5.532496914298504e-05,"{'validation_sharpes': [-6.297825716796293, -4.441668882207272, -4.337554342733793], 'validation_mdds': [-0.10955396908273463, -0.09046886782280983, -0.15050466012148644], 'validation_turnovers': [0.11773675403468577, 0.12322238181410518, 0.13180054727493346], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -4.441668882207272}",COMPLETE
7,-7.873947575178566,2026-04-10 09:47:33.491842,2026-04-10 09:48:49.356642,0 days 00:01:15.864800,0.6988994023569541,0.0031883397351001883,21,146,0.6424202471887338,0.8156051310363217,0.35,0.8769545445323758,0.7010716092915446,0.01656260589333596,55,24,0.14373713440018346,0.028313313187494145,2.0375812434867324,2.4060379177903557,60.0,35.454072166550574,7.688106801474963e-05,"{'validation_sharpes': [-6.7999707223266475, -9.810230210037664, -5.81187956351623], 'validation_mdds': [-0.18336537543972076, -0.16403407955441707, -0.23327441073200217], 'validation_turnovers': [0.20565156961979816, 0.25063688588510696, 0.22125251393134132], 'validation_non_positive_ratio': 1.0, 'median_validation_sharpe': -6.7999707223266475}",COMPLETE
